Name,Canonical_Smiles,SMARTS
"{1,4-Dimethoxynaphthalene, 97%}",COc1ccc(OC)c2ccccc12,[c]12:[c](:[c](-[#8]-[#6]):[c]:[c]:[c]1-[#8]-[#6]):[c]:[c]:[c]:[c]2
"{Benzyl 2-bromoethyl ether, 97 %}",BrCCOCc1ccccc1,[c]1(-[#6]-[#8]-[#6]-[#6]-[#35]):[c]:[c]:[c]:[c]:[c]1
"{2-Methoxybenzyl chloride, 98 %}",COc1ccccc1CCl,[c]1:[c]:[c]:[c]:[c](-[#8]-[#6]):[c]1-[#6]-[#17]
"{1-Methoxy-2-butanol, 97 %}",CCC(O)COC,[#6]-[#6]-[#6](-[#8])-[#6]-[#8]-[#6]
"{3,4,5-Trimethoxybenzaldehyde dimethyl acetal, 98 %}",COC(OC)c1cc(OC)c(OC)c(OC)c1,[c]1:[c](-[#8]-[#6]):[c](-[#8]-[#6]):[c](-[#8]-[#6]):[c]:[c]1-[#6](-[#8]-[#6])-[#8]-[#6]
"{3,5-Dimethoxybenzyl bromide, 95 %}",COc1cc(CBr)cc(OC)c1,[c]1:[c](-[#8]-[#6]):[c]:[c](-[#8]-[#6]):[c]:[c]1-[#6]-[#35]
"{2-Bromo-4-methylanisole, 97 %}",COc1ccc(C)cc1Br,[#35]-[c](:[c]:[c](-[#6]):[c]:[c]1):[c]1-[#8]-[#6]
"{Di(ethylene glycol) benzyl ether, 97 %}",OCCOCCOCc1ccccc1,[c]1:[c](-[#6]-[#8]-[#6]-[#6]-[#8]-[#6]-[#6]-[#8]):[c]:[c]:[c]:[c]1
"{Benzyl 4-bromophenyl ether, 96 %}",Brc1ccc(OCc2ccccc2)cc1,[c]1(-[#35]):[c]:[c]:[c](-[#8]-[#6]-[c]2:[c]:[c]:[c]:[c]:[c]2):[c]:[c]1
{sec-Butyl ether},CCC(C)OC(C)CC,[#6]-[#6]-[#6](-[#6])-[#8]-[#6](-[#6])-[#6]-[#6]
"{3-Chlorophenetole, 97 %}",CCOc1cccc(Cl)c1,[c]1:[c](-[#8]-[#6]-[#6]):[c]:[c](-[#17]):[c]:[c]1
"{1,2-Dihexyloxybenzene, 98 %}",CCCCCCOc1ccccc1OCCCCCC,[c]1:[c]:[c](-[#8]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]):[c](-[#8]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]):[c]:[c]1
"{5-Bromo-2-chloroanisole, 97 %}",COc1cc(Br)ccc1Cl,[c]1:[c](-[#8]-[#6]):[c](-[#17]):[c]:[c]:[c]1-[#35]
"{2-Methoxycyclohexanol,mixture of cis and trans, 98 %}",COC1CCCCC1O,[#6]1-[#6](-[#8])-[#6](-[#8]-[#6])-[#6]-[#6]-[#6]1
"{3-Ethynylanisole, 96 %}",COc1cccc(c1)C#C,[c]1:[c](-[#8]-[#6]):[c]:[c](-[#6]#[#6]):[c]:[c]1
"{1-Bromo-4-methoxy-2,5-dimethylbenzene, 98 %}",COc1cc(C)c(Br)cc1C,[c]1:[c](-[#35]):[c](-[#6]):[c]:[c](-[#8]-[#6]):[c]1-[#6]
"{2-Benzyloxybromobenzene, 96 %}",Brc1ccccc1OCc2ccccc2,[c]1:[c]:[c](-[#6]-[#8]-[c]2:[c](-[#35]):[c]:[c]:[c]:[c]2):[c]:[c]:[c]1
"{1-Ethynyl-4-methoxy-2-methylbenzene, 97 %}",COc1ccc(C#C)c(C)c1,[c]1(-[#6]#[#6]):[c](-[#6]):[c]:[c](-[#8]-[#6]):[c]:[c]1
"{3-Chloro-2-methylanisole, 90 %}",COc1cccc(Cl)c1C,[c]1:[c](-[#8]-[#6]):[c](-[#6]):[c](-[#17]):[c]:[c]1
"{4-Methoxy-3-nitrobenzyl alcohol, 97 %}",COc1ccc(CO)cc1[N+](=O)[O-],[c]1:[c](-[#6]-[#8]):[c]:[c](-[#7+](=[#8])-[#8-]):[c](-[#8]-[#6]):[c]1
"{4-Pentyloxybenzyl alcohol, 98 %}",CCCCCOc1ccc(CO)cc1,[c]1:[c](-[#6]-[#8]):[c]:[c]:[c](-[#8]-[#6]-[#6]-[#6]-[#6]-[#6]):[c]1
"{(S)-(-)-1,2-Di-O-benzylglycerol, 96 %}",OC[C@@H](COCc1ccccc1)OCc2ccccc2,[c]1:[c]:[c]:[c](-[#6]-[#8]-[#6]-[#6@@](-[#1])(-[#8]-[#6]-[c]2:[c]:[c]:[c]:[c]:[c]2)-[#6]-[#8]):[c]:[c]1
"{2-Fluoro-4,5-dimethoxybenzyl chloride}",COc1cc(F)c(CCl)cc1OC,[c]1:[c](-[#6]-[#17]):[c](-[#9]):[c]:[c](-[#8]-[#6]):[c]1-[#8]-[#6]
"{4-Isopropylanisole, 97 %}",COc1ccc(cc1)C(C)C,[c]1:[c](-[#8]-[#6]):[c]:[c]:[c](-[#6](-[#6])-[#6]):[c]1
"{4-Chloro-2-methylanisole, 97 %}",COc1ccc(Cl)cc1C,[c]1:[c](-[#8]-[#6]):[c](-[#6]):[c]:[c](-[#17]):[c]1
"{4-Ethylanisole, 97 %}",CCc1ccc(OC)cc1,[c]1:[c](-[#8]-[#6]):[c]:[c]:[c](-[#6]-[#6]):[c]1
"{4-Iodophenetole, 97 %}",CCOc1ccc(I)cc1,[c]1(-[#53]):[c]:[c]:[c](-[#8]-[#6]-[#6]):[c]:[c]1
"{(R)-(+)-1-(4-Methoxybenzyl)-1,2,3,4,5,6,7,8-octahydroisoquinoline, 97 %}",COc1ccc(C[C@@H]2NCCC3=C2CCCC3)cc1,[#6]1-[#6]-[#6](-[#6]-[#6]-[#7]-[#6@]2-[#6]-[c]3:[c]:[c]:[c](-[#8]-[#6]):[c]:[c]3)=[#6]2-[#6]-[#6]1
"{4-(Difluoromethoxy)iodobenzene, 97 %}",FC(F)Oc1ccc(I)cc1,[c]1:[c](-[#53]):[c]:[c]:[c](-[#8]-[#6](-[#9])-[#9]):[c]1
"{1,4-Diethoxybenzene}",CCOc1ccc(OCC)cc1,[c]1:[c]:[c](-[#8]-[#6]-[#6]):[c]:[c]:[c]1-[#8]-[#6]-[#6]
"{1,5-Dimethoxypentane}",COCCCCCOC,[#6]-[#8]-[#6]-[#6]-[#6]-[#6]-[#6]-[#8]-[#6]
"{1,4-Bis(2-ethylhexyloxy)benzene}",CCCCC(CC)COc1ccc(OCC(CC)CCCC)cc1,[c]1:[c](-[#8]-[#6]-[#6](-[#6]-[#6])-[#6]-[#6]-[#6]-[#6]):[c]:[c]:[c](-[#8]-[#6]-[#6](-[#6]-[#6])-[#6]-[#6]-[#6]-[#6]):[c]1
{1-[(2-Ethylhexyl)oxy]-4-methoxybenzene},CCCCC(CC)COc1ccc(OC)cc1,[c]1(-[#8]-[#6]):[c]:[c]:[c](-[#8]-[#6]-[#6](-[#6]-[#6])-[#6]-[#6]-[#6]-[#6]):[c]:[c]1
"{2,4-Dinitro-1-(trifluoromethoxy)benzene}",[O-][N+](=O)c1ccc(OC(F)(F)F)c(c1)[N+](=O)[O-],[c]1:[c](-[#8]-[#6](-[#9])(-[#9])-[#9]):[c](-[#7+](=[#8])-[#8-]):[c]:[c](-[#7+](-[#8-])=[#8]):[c]1
"{4-Bromo-2,3-dimethylanisole}",COc1ccc(Br)c(C)c1C,[c]1:[c](-[#8]-[#6]):[c](-[#6]):[c](-[#6]):[c](-[#35]):[c]1
{2-Isopropylanisole},COc1ccccc1C(C)C,[c]1:[c](-[#8]-[#6]):[c](-[#6](-[#6])-[#6]):[c]:[c]:[c]1
{2-Bromo-5-methoxybenzyl bromide},COc1ccc(Br)c(CBr)c1,[c]1:[c](-[#6]-[#35]):[c](-[#35]):[c]:[c]:[c]1-[#8]-[#6]
